Azure,票務成本[未稅],,,,,,IBON成本,紅利,,,,紅利,,[到下方輸入區],備註
年/月,A系統,D系統(會員),E系統,繳費網(W),訂房網,共用,金流(N),禮贈(T),總計,含退款,,雲端卡,,[回首頁],
2021/01,"$54,993","$138,756","$22,794","$32,293",,,"$2,323","$6,905","$258,064",$0,,,,,
2021/02,"$58,115","$133,036","$92,579","$49,445",,,"$9,573","$5,812","$348,560",$0,,,,,
2021/03,"$52,868","$138,470","$35,152","$63,007",,,"$12,652","$6,586","$308,735",$0,,,,,
2021/04,"$110,756","$125,970","$34,434","$60,844","$2,667",,"$5,413","$6,763","$346,847",$0,,,,,
2021/05,"$219,783","$125,734","$36,913","$62,903","$5,311",,"$7,953","$6,690","$465,287",$0,,,,,
2021/06,"$82,931","$69,243","$34,564","$60,507","$5,135",,"$18,034","$6,585","$276,999",$0,,"$31,697",,,
2021/07,"$106,644","$69,368","$33,295","$62,326","$5,304","$38,629","$25,656","$7,222","$348,444",$0,,"$99,970",,,
2021/08,"$88,427","$81,244","$33,548","$62,401","$5,305","$44,488","$31,088","$7,318","$353,819",$0,,"$194,342",,,
2021/09,"$86,428","$67,453","$31,874","$61,934","$5,134","$65,879","$22,953","$7,933","$349,588",$0,,"$308,772",,,
2021/10,"$105,684","$71,311","$37,034","$64,121","$5,305","$68,705","$24,609","$8,393","$385,162",$0,,"$402,950",,,
2021/11,"$157,270","$85,531","$44,406","$61,584","$5,136","$78,053","$20,501","$7,530","$460,011",$0,,"$487,045",,,
2021/12,"$182,030","$71,574","$59,007","$62,799","$5,307","$92,492","$20,777","$7,758","$501,744",$0,,"$599,522",,,
2022/01,"$211,380","$100,093","$54,905","$62,881","$5,307","$154,140","$20,999","$7,679","$617,384",$0,,"$494,130",,,
2022/02,"$179,029","$63,603","$38,902","$57,304","$4,793","$165,370","$19,339","$6,884","$535,224",$0,,"$416,747",,,
2022/03,"$150,257","$65,238","$43,825","$61,375","$5,306","$99,057","$21,549","$7,722","$454,329",$0,,"$428,049",,,
2022/04,"$162,688","$68,179","$42,531","$54,865","$5,135","$105,218","$21,419","$7,433","$467,468",$0,,"$409,132",,,
2022/05,"$162,809","$72,990","$47,552","$56,436","$5,305","$103,885","$22,089","$8,102","$479,168",$0,,"$433,676",,,
2022/06,"$213,465","$67,758","$55,840","$54,473","$5,135","$106,568","$22,630","$8,847","$534,716",$0,,"$410,501",,,
2022/07,"$200,994","$63,969","$77,195","$55,935","$5,306","$111,068","$23,013","$9,467","$546,947",$0,,"$405,914",,,
2022/08,"$227,511","$75,343","$67,792","$55,995","$5,306","$106,111","$23,399","$10,708","$572,165",$0,,"$452,590",,,
2022/09,"$269,022","$66,531","$58,564","$56,170","$5,134","$108,814","$22,063","$10,498","$596,796",$0,,"$457,296",,,
2022/10,"$388,609","$109,211","$56,458","$57,484","$5,304","$121,790","$24,627","$13,902","$777,385",$0,,"$486,536",,,
2022/11,"$317,758","$79,014","$59,240","$54,263","$5,133","$186,185","$28,813","$12,230","$742,636",$0,,"$577,263",,,
2022/12,"$428,431","$91,551","$70,094","$34,125","$5,395","$168,279","$34,708","$22,295","$854,878",$0,,"$526,038",,,
2023/01,"$389,224","$135,135","$79,315",$0,"$5,751","$115,196","$36,919","$23,281","$784,821",$0,,"$675,269",,,
2023/02,"$406,079","$135,289","$66,477",$0,"$5,319","$111,774","$55,348","$21,111","$801,397",$0,,"$696,184",,,
2023/03,"$474,776","$145,410","$135,522",$0,"$5,969","$130,419","$64,150","$23,905","$980,151",$0,,"$721,753",,,
2023/04,"$420,898","$96,674","$115,201",$0,"$5,602","$111,516","$60,552","$22,578","$833,021",$0,,"$750,328",,,
2023/05,"$517,838","$136,112","$122,344",$0,"$5,790","$135,816","$57,835","$23,897","$999,632",$0,,"$676,280",,,
2023/06,"$404,570","$101,157","$98,611",$0,"$5,631","$147,335","$42,266","$28,922","$828,492",$0,,"$585,171",,,
2023/07,"$257,770","$88,020","$81,131",$0,"$5,704","$137,155","$43,515","$27,151","$640,446","$93,589",,"$448,104",,,
2023/08,"$419,065","$138,082","$87,943",$0,"$6,072","$174,061","$48,611","$33,980","$907,814",$0,,"$441,137",,,
2023/09,"$310,468","$81,617","$81,010",$0,"$5,539","$135,667","$43,085","$35,310","$692,696",$0,,"$580,456",,,
2023/10,"$402,551","$133,119","$85,286",$0,"$6,126","$141,852","$44,954","$44,556","$858,444",$0,,"$519,774",,,
2023/11,"$344,409","$115,943","$81,303",$0,"$5,929","$147,641","$43,235","$37,594","$776,054",$0,,"$461,584",,,
2023/12,"$309,786","$106,729","$81,327",$0,"$6,384","$150,883","$45,115","$43,991","$744,215",$0,,"$512,009",,,
2024/01,"$420,110","$112,061","$92,289",$0,"$6,548","$175,420","$46,708","$39,845","$892,981",$0,,"$466,690",,,
2024/02,"$455,727","$165,138","$108,271",$0,"$6,563","$130,809","$58,688","$43,811","$969,007",$0,,"$555,562",,,
2024/03,"$643,068","$321,590","$141,240",$0,"$7,019","$143,123","$63,883","$49,246","$1,369,169","$1,182",,"$478,987",,,
2024/04,"$349,105","$158,530","$98,208",$0,"$6,786","$128,107","$58,597","$49,019","$848,352","$91,610",,"$466,537",,,
2024/05,"$585,286","$243,413","$108,597",$0,"$7,015","$165,046","$59,823","$51,568","$1,220,748",$0,,"$497,765",,,
2024/06,"$660,281","$253,263","$147,430",$0,"$6,793","$188,127","$59,699","$51,787","$1,367,380",$0,,"$503,382",,,
2024/07,"$569,888","$221,152","$143,364",$0,"$7,018","$170,307","$60,978","$48,265","$1,220,972",$0,,"$546,960",,,
2024/08,"$567,587","$437,065","$144,268",$0,"$7,017","$219,719","$58,830","$56,195","$1,490,681",$0,,"$525,534",,,
2024/09,"$378,183","$203,758","$110,790",$0,"$6,818","$186,002","$51,935","$49,142","$986,628","$10,720",,"$532,972",,,
2024/10,"$692,175","$308,177","$119,012",$0,"$7,018","$214,896","$53,215","$82,934","$1,477,427",$0,,"$548,287",,,
2024/11,"$789,586","$346,310","$159,822",$0,"$6,792","$210,557","$56,082","$80,794","$1,649,943",$0,,"$550,545",,,
2024/12,"$946,302","$197,745","$159,890",$0,"$7,019","$188,812","$92,753","$85,560","$1,678,081","$19,767",,"$654,088",,,
2025/01,"$699,004","$211,212","$106,273",$0,"$7,017","$228,462","$61,128","$89,170","$1,402,266",$0,,"$931,480",,,
2025/02,"$704,700","$231,142","$135,722",$0,"$5,612","$198,303","$62,393","$73,265","$1,411,137",$0,,"$769,038",,,
2025/03,"$1,078,200","$454,428","$167,729",$0,"$5,581","$192,082","$110,363","$90,160","$2,098,543",$0,,"$779,831",,,
2025/04,"$783,830","$311,196","$158,605",$0,"$5,394","$193,292","$60,856","$70,561","$1,583,734",$859,,"$686,431",,,3/15 障礙退款
2025/05,"$1,083,530","$390,038","$154,843",$0,"$5,433","$322,522","$61,477","$73,913","$2,091,756","$192,925",,"$746,821",,,"壓測Front Door 折抵$192,925"
2025/06,"$1,066,343","$468,313","$173,070",$0,"$5,292","$205,495","$64,085","$73,005","$2,055,603",$0,,"$767,859",,,
2025/07,"$1,236,244","$566,676","$166,602",$0,"$5,592","$203,397","$63,106","$97,035","$2,338,652",$0,,"$721,416",,,
2025/08,"$1,093,372","$449,918","$190,144",$0,"$5,591","$195,024","$65,334","$82,541","$2,081,924",$0,,"$708,009",,,
2025/09,"$1,847,957","$1,996,584","$244,433",$0,"$5,418","$240,992","$63,894","$79,326","$4,478,604","$199,870",,"$649,948",,,"(1)9/13微軟補貼$182,370  (2)9/12 PIC減收$17,500"
2025/10,"$1,208,771","$490,952","$257,998",$0,"$5,557","$220,241","$69,258","$79,204","$2,331,981",$0,,"$661,729",,,
2025/11,"$995,566","$155,814","$169,282",$0,"$5,407","$196,402","$60,477","$77,260","$1,660,208",$0,,"$730,447",,,
2025/12,"$1,440,560","$187,065","$221,682",$0,"$5,612","$213,678","$65,794","$87,154","$2,221,545",$0,,"$679,252",,,
2026/01,"$755,575","$105,613","$183,419",$0,"$4,112","$180,822","$69,832","$95,536","$1,394,909","$176,848",,"$669,318",,,
2026/02,"$737,090","$111,186","$204,158",$0,"$2,832","$177,160","$64,162","$89,472","$1,386,060",$0,,"$880,348",,,
2026/03,,,,,,,,,,,,,,,
2026/04,,,,,,,,,,,,,,,
2026/05,,,,,,,,,,,,,,,
2026/06,,,,,,,,,,,,,,,
2026/07,,,,,,,,,,,,,,,
2026/08,,,,,,,,,,,,,,,
2026/09,,,,,,,,,,,,,,,
2026/10,,,,,,,,,,,,,,,
2026/11,,,,,,,,,,,,,,,
2026/12,,,,,,,,,,,,,,,
