,1.2,Azure + AWS 票務加總,,,,,票務,活動/子系統 &,,[說明來這頁-28.流量異常說明-寫],,,[回首頁],Azure 票務費用,,,,,數位應用開發TEAM,,,,AWS 票務費用,,,,,數位應用開發TEAM
,年/月,A系統,D系統(AWS),E系統,共用,會員,總計[未稅],機器監控等級,活動名稱,備註說明,,,年/月,A系統,D系統(會員),E系統,共用,,總計[未稅],,,年/月,A系統,D系統,E系統,共用,,總計[未稅]
,2025/12/01  ,"$46,241","$8,390","$6,921","$5,317","$4,120","$70,989","A系統-小型(免監控)
A系統-小型(免監控)","台星釋票(小巨蛋)
李聖傑開放取票",,,,2025/12/01  ,"$38,512","$4,120","$4,721","$5,317",,"$52,670",,,2025/12/01  ,"$7,729","$8,390","$2,200",$0,,"$18,319"
,2025/12/02  ,"$31,548","$7,670","$8,323","$2,715","$3,388","$53,644",,,,,,2025/12/02  ,"$23,902","$3,388","$5,454","$2,715",,"$35,459",,,2025/12/02  ,"$7,646","$7,670","$2,869",$0,,
,2025/12/03  ,"$31,055","$6,558","$8,200","$2,476","$3,350","$51,639",,,,,,2025/12/03  ,"$23,419","$3,350","$5,326","$2,476",,"$34,571",,,2025/12/03  ,"$7,636","$6,558","$2,874",$0,,
,2025/12/04  ,"$31,830","$7,044","$8,473","$2,515","$3,354","$53,215",,,,,,2025/12/04  ,"$24,125","$3,354","$5,539","$2,515",,"$35,532",,,2025/12/04  ,"$7,705","$7,044","$2,934",$0,,
,2025/12/05  ,"$38,560","$8,289","$8,630","$2,671","$4,393","$62,543",A系統-小型(免監控),Love Design KaoJane - First Fan Meeting in Taipei(清票重售),,,,2025/12/05  ,"$30,822","$4,393","$5,612","$2,671",,"$43,498",,,2025/12/05  ,"$7,738","$8,289","$3,018",$0,,
,2025/12/06  ,"$37,581","$7,171","$8,579","$2,378","$3,453","$59,163",,,,,,2025/12/06  ,"$29,842","$3,453","$5,534","$2,378",,"$41,208",,,2025/12/06  ,"$7,739","$7,171","$3,045",$0,,
,2025/12/07  ,"$46,819","$7,735","$8,488","$45,429","$4,701","$113,173",A系統-小型(免監控),韓星加場,"共用：SQLMI_BC(A系統) = $43,088",,,2025/12/07  ,"$39,081","$4,701","$5,439","$45,429",,"$94,651",,,2025/12/07  ,"$7,738","$7,735","$3,049",$0,,
,2025/12/08  ,"$30,074","$6,292","$8,220","$30,588","$3,203","$78,378",,,"共用：SQLDB_GP(禮贈)、VM(B2s、D2s_v3、DS1_v2、E2as_v4、E4as_v4) = $28,294",,,2025/12/08  ,"$22,336","$3,203","$5,162","$30,588",,"$61,290",,,2025/12/08  ,"$7,738","$6,292","$3,058",$0,,
,2025/12/09  ,"$30,080","$8,344","$9,243","$2,534","$3,312","$53,513",,,,,,2025/12/09  ,"$22,341","$3,312","$6,185","$2,534",,"$34,372",,,2025/12/09  ,"$7,739","$8,344","$3,058",$0,,
