,1.2,Azure + AWS 票務加總,,,,,票務,活動/子系統 &,,[說明來這頁-28.流量異常說明-寫],,,[回首頁],Azure 票務費用,,,,,數位應用開發TEAM,,,,AWS 票務費用,,,,,數位應用開發TEAM
,年/月,A系統,D系統(AWS),E系統,共用,會員,總計[未稅],機器監控等級,活動名稱,備註說明,,,年/月,A系統,D系統(會員),E系統,共用,,總計[未稅],,,年/月,A系統,D系統,E系統,共用,,總計[未稅]
,2026/01/01  ,"$37,951","$8,580","$9,599","$4,760","$3,101","$63,991",,,,,,2026/01/01  ,"$24,400","$3,101","$4,578","$4,760",,"$36,839",,,2026/01/01  ,"$13,551","$8,580","$5,021",$0,,"$27,152"
,2026/01/02  ,"$38,167","$8,679","$10,381","$2,506","$3,175","$62,908",,,,,,2026/01/02  ,"$24,518","$3,175","$5,352","$2,506",,"$35,551",,,2026/01/02  ,"$13,649","$8,679","$5,029",$0,,
,2026/01/03  ,"$37,580","$12,071","$10,266","$2,558","$3,269","$65,743",,,,,,2026/01/03  ,"$23,894","$3,269","$5,236","$2,558",,"$34,956",,,2026/01/03  ,"$13,686","$12,071","$5,030",$0,,
,2026/01/04  ,"$78,311","$13,740","$12,051","$2,943","$4,435","$111,480",,,"有流量，12:00-19:00，azure機器有擴展。aws佔13,684、AZURE佔55706【3466(gateway)+6117(AppService)+2652(Bandwidth)+1395(CDN)+26059(log)+16017(sql mi) 】",,,2026/01/04  ,"$64,627","$4,435","$7,021","$2,943",,"$79,026",,,2026/01/04  ,"$13,684","$13,740","$5,030",$0,,
,2026/01/05  ,"$56,510","$22,575","$11,804","$2,767","$4,010","$97,666",,,,,,2026/01/05  ,"$42,825","$4,010","$6,771","$2,767",,"$56,373",,,2026/01/05  ,"$13,685","$22,575","$5,033",$0,,
,2026/01/06  ,"$38,873","$16,701","$10,576","$2,538","$3,399","$72,087",,,,,,2026/01/06  ,"$23,695","$3,399","$5,542","$2,538",,"$35,174",,,2026/01/06  ,"$15,178","$16,701","$5,034",$0,,
,2026/01/07  ,"$104,570","$13,359","$12,802","$47,264","$6,630","$184,626",A系統-中型(小型監控),"第40屆金唱片頒獎典禮 The 40th Golden Disc Awards
(視線不良區釋票)",,,,2026/01/07  ,"$90,823","$6,630","$7,763","$47,264",,"$152,481",,,2026/01/07  ,"$13,747","$13,359","$5,039",$0,,
,2026/01/08  ,"$81,517","$7,819","$10,714","$21,930","$3,161","$125,140",,,"A系統網站流量升高，azure機器有擴展。AWS佔17,953、AZURE佔54,843【11,115(gateway)+1730(AppService)+3888(Bandwidth)+512(CDN)+26999(log)+10599(sql mi)】",,,2026/01/08  ,"$63,564","$3,161","$5,672","$21,930",,"$94,326",,,2026/01/08  ,"$17,953","$7,819","$5,042",$0,,
,2026/01/09  ,"$77,150","$7,852","$9,607","$2,892","$3,041","$100,542",,,"A系統網站流量升高，azure機器有擴展。AWS佔12,267、AZURE佔56,125【3424(gateway)+2075(AppService)+5065(Bandwidth)+480(CDN)+34482(log)+10599(sql mi)】",,,2026/01/09  ,"$64,883","$3,041","$6,219","$2,892",,"$77,035",,,2026/01/09  ,"$12,267","$7,852","$3,388",$0,,
