Hour,筆數,張數
2026-03-29 16:00,2271,2272
2026-03-31 18:00,136,136
2026-04-01 18:00,188,188
2026-04-10 18:00,156,156
2026-04-11 16:00,437,437
2026-04-12 16:00,216,216
2026-04-21 18:00,110,110
2026-04-22 18:00,152,152
2026-04-24 18:00,347,347
2026-04-25 16:00,788,788
2026-04-26 16:00,542,542
2026-05-01 16:00,468,468
2026-05-02 16:00,461,461
2026-05-03 16:00,269,269
2026-05-12 18:00,69,69
2026-05-13 18:00,120,120
2026-05-15 18:00,167,167
2026-05-16 16:00,932,932
2026-05-17 16:00,625,625
2026-06-16 18:00,81,81
2026-06-18 18:00,110,110
2026-06-19 16:00,355,355
2026-06-20 16:00,629,629
2026-06-21 16:00,360,360
