Minute,筆數,張數
2026-03-29 16:05,2271,2272
2026-03-31 18:35,136,136
2026-04-01 18:35,188,188
2026-04-10 18:35,156,156
2026-04-11 16:05,437,437
2026-04-12 16:05,216,216
2026-04-21 18:35,110,110
2026-04-22 18:35,152,152
2026-04-24 18:35,347,347
2026-04-25 16:05,788,788
2026-04-26 16:05,542,542
2026-05-01 16:05,468,468
2026-05-02 16:05,461,461
2026-05-03 16:05,269,269
2026-05-12 18:35,69,69
2026-05-13 18:35,120,120
2026-05-15 18:35,167,167
2026-05-16 16:05,932,932
2026-05-17 16:05,625,625
2026-06-16 18:35,81,81
2026-06-18 18:35,110,110
2026-06-19 16:05,355,355
2026-06-20 16:05,629,629
2026-06-21 16:05,360,360
