,,,,,,,國內IP,,,國外IP,,
時間,booking數,"booking數
(每分鐘累加)",訂單張數,"訂單張數
(每分鐘累加)",刷卡張數,"刷卡張數
(每分鐘累加)",QIT等候室人數,"從等候室
進至活動人數",max流出量設定,QIT等候室人數,"從等候室
進至活動人數",max流出量設定
12:00,3113,3113,250,250,250,250,22709,1998,2000,540,16,10
12:01,1021,4134,276,526,276,526,24505,2000,2000,1194,10,10
12:02,897,5031,506,1032,506,1032,26579,1998,2000,1230,6,10
12:03,924,5955,350,1382,350,1382,24230,1923,2000,1356,4,10
12:04,1022,6977,358,1740,357,1739,23738,2077,2000,1518,6,10
12:05,1143,8120,393,2133,393,2132,22529,1935,2000,1726,10,10
12:06,994,9114,385,2518,385,2517,21178,2065,2000,1827,9,10
12:07,1082,10196,486,3004,486,3003,20350,2000,2000,1805,5,10
12:08,1119,11315,516,3520,516,3519,17672,996,500,1854,1,10
12:09,532,11847,527,4047,527,4046,17832,500,500,1946,1,10
12:10,326,12173,293,4340,292,4338,18731,500,500,2004,0,10
12:11,1575,13748,471,4811,471,4809,19804,500,500,2064,0,10
12:12,515,14263,707,5518,707,5516,20329,499,500,2194,0,10
12:13,480,14743,419,5937,398,5934,20053,500,500,2543,4,10
12:14,443,15186,300,6237,300,6234,20076,500,500,2576,3,10
12:15,577,15763,235,6472,235,6469,20194,500,500,2552,2,10
12:16,514,16277,193,6665,193,6662,19754,500,500,2536,1,10
12:17,577,16854,193,6858,193,6855,20115,499,500,2509,0,10
12:18,446,17300,215,7073,215,7070,19850,500,500,2572,0,10
12:19,518,17818,235,7308,235,7305,20028,500,500,2580,0,10
12:20,473,18291,216,7524,216,7521,20095,500,500,2589,0,10
12:21,321,18612,153,7677,153,7674,20069,524,500,2564,0,10
12:22,312,18924,161,7838,161,7835,20350,1013,1000,2647,1,10
12:23,346,19270,155,7993,155,7990,18246,1000,1000,2637,3,10
12:24,328,19598,169,8162,169,8159,17943,999,1000,2611,7,10
12:25,304,19902,153,8315,153,8312,15676,1000,1000,2592,2,10
12:26,354,20256,144,8459,144,8456,14557,1000,1000,2565,5,10
12:27,305,20561,170,8629,170,8626,12501,1000,1000,2624,8,10
12:28,1056,21617,178,8807,177,8803,9516,2001,3000,2779,12,10
12:29,355,21972,409,9216,409,9212,6805,3000,3000,2759,10,10
12:30,399,22371,278,9494,278,9490,3996,3000,3000,2732,6,10
12:31,400,22771,187,9681,187,9677,24,2545,3000,2703,8,10
12:32,343,23114,213,9894,213,9890,144,611,3000,2695,9,10
12:33,520,23634,191,10085,191,10081,0,159,3000,2680,10,10
12:34,308,23942,247,10332,246,10327,0,108,3000,2656,16,10
12:35,228,24170,137,10469,137,10464,0,67,3000,2118,666,1000
12:36,207,24377,100,10569,100,10564,0,53,3000,1118,15,1000
12:37,173,24550,96,10665,96,10660,0,31,3000,0,7,1000
12:38,400,24950,115,10780,115,10775,0,33,3000,0,6,1000
12:39,200,25150,128,10908,128,10903,0,17,3000,0,2,1000
12:40,342,25492,122,11030,122,11025,0,9,3000,0,2,1000
12:41,159,25651,98,11128,98,11123,0,4,3000,0,3,1000
12:42,233,25884,65,11193,65,11188,0,0,3000,0,0,1000
12:43,206,26090,78,11271,78,11266,0,0,3000,0,0,1000
12:44,224,26314,58,11329,58,11324,,,,,,
12:45,169,26483,58,11387,58,11382,,,,,,
12:46,124,26607,34,11421,34,11416,,,,,,
12:47,233,26840,38,11459,38,11454,,,,,,
12:48,212,27052,93,11552,93,11547,,,,,,
12:49,159,27211,54,11606,54,11601,,,,,,
12:50,147,27358,53,11659,53,11654,,,,,,
