date,type,code,name,buyShares,buyPrice,sellShares,sellPrice,fee,tax,amount,cost,spend,income,note,person
1899/12/30,買,2845,遠東銀,3000,16.40,0,0,42,0,49200,42,49242,0,,alex
2007/1/1,買,2845,遠東銀,3000,18.60,0,0,48,0,55800,48,55848,0,,alex
2007/1/1,股利,2845,遠東銀,472,0,0,0,0,0,0,0,0,7500,,alex
2010/10/6,股利,2845,遠東銀,186,0,0,0,0,0,0,0,0,7500,,alex
2011/10/7,股利,2845,遠東銀,284,0,0,0,0,0,0,0,0,7500,,alex
2012/10/19,股利,2845,遠東銀,310,0,0,0,0,0,0,0,0,7500,,alex
2013/10/3,股利,2845,遠東銀,301,0,0,0,0,0,0,0,0,7500,,alex
2014/9/10,股利,2845,遠東銀,288,0,0,0,0,0,0,0,0,7500,,alex
2015/9/25,股利,2845,遠東銀,360,0,0,0,0,0,0,0,0,7500,,alex
2016/9/30,股利,2845,遠東銀,141,0,0,0,0,0,0,0,0,7500,,alex
2017/9/29,股利,2845,遠東銀,165,0,0,0,0,0,0,0,0,7500,,alex
2018/10/5,股利,2845,遠東銀,199,0,0,0,0,0,0,0,0,7500,,alex
2019/9/27,股利,2845,遠東銀,200,0,0,0,0,0,0,0,0,7500,,alex
2020/9/29,股利,2845,遠東銀,213,0,0,0,0,0,0,0,0,7500,,alex
2021/10/27,股利,2845,遠東銀,152,0,0,0,0,0,0,0,0,7500,,alex
2007/9/5,買,5487,通泰,3500,54.40,0,0,163,0,190400,163,190563,0,,alex
2009/10/19,買,2888,新光金,2000,14.40,0,0,25,0,28800,25,28825,0,,alex
2013/10/4,股利,2888,新光金,52,0,0,0,0,0,0,0,0,7500,,alex
2014/10/28,股利,2888,新光金,111,0,0,0,0,0,0,0,0,7500,,alex
2015/9/21,股利,2888,新光金,88,0,0,0,0,0,0,0,0,7500,,alex
2018/10/22,股利,2888,新光金,32,0,0,0,0,0,0,0,0,7500,,alex
2019/10/2,股利,2888,新光金,47,0,0,0,0,0,0,0,0,7500,,alex
2020/5/18,股利,2888,新光金,58,0,0,0,0,0,0,0,0,7500,,alex
2021/8/25,股利,2888,新光金,136,0,0,0,0,0,0,0,0,7500,,alex
2018/1/9,買,2353,宏碁,10000,25.70,0,0,220,0,257000,220,257220,0,,alex
2021/7/9,買,2353,宏碁,2000,28.70,0,0,49,0,57400,49,57449,0,,alex
2019/11/8,買,2888A,新光金甲特,10,45.00,0,0,20,0,450,20,470,0,,alex
2019/11/8,買,2888B,新光金乙特,30,45.00,0,0,20,0,1350,20,1370,0,,alex
2021/5/3,買,6770,力積電,2000,68.00,0,0,116,0,136000,116,136116,0,,alex
2021/8/10,買,6770,力積電,1000,69.50,0,0,59,0,69500,59,69559,0,,alex
2021/10/4,買,6770,力積電,2000,63.80,0,0,109,0,127600,109,127709,0,,alex
2021/12/9,買,6770,力積電,1000,70.90,0,0,61,0,70900,61,70961,0,,alex
2021/11/29,買,2707,晶華,1000,146.00,0,0,125,0,146000,125,146125,0,,alex
2021/4/21,買,1519,華城,1000,49.85,0,0,43,0,49850,43,49893,0,,alex
2021/8/4,買,1519,華城,2000,43.00,0,0,74,0,86000,74,86074,0,,alex
2021/8/13,買,1519,華城,1000,39.75,0,0,34,0,39750,34,39784,0,,alex
2021/11/12,買,1519,華城,1000,37.20,0,0,32,0,37200,32,37232,0,,alex
2021/11/26,買,1519,華城,1000,35.40,0,0,30,0,35400,30,35430,0,,alex
2021/4/16,買,2727,王品,1000,192.50,0,0,165,0,192500,165,192665,0,,alex
2021/5/3,買,2727,王品,1000,179.00,0,0,153,0,179000,153,179153,0,,alex
2021/7/26,買,2727,王品,1000,170.50,0,0,146,0,170500,146,170646,0,,alex
2021/7/27,買,2727,王品,1000,162.50,0,0,139,0,162500,139,162639,0,,alex
2021/12/17,賣,2707,晶華,0,0,1000,149.50,128,449,149500,576,0,148924,,alex
2021/12/27,賣,2353,宏碁,0,0,1000,29.95,26,90,29950,115,0,29835,,alex
2022/1/5,賣,2353,宏碁,0,0,1000,31.00,27,93,31000,120,0,30880,,alex
2022/1/26,買,6770,力積電,1000,63.90,0,0,55,0,63900,55,63955,0,,alex
2022/2/16,買,6770,力積電,1000,59.70,0,0,51,0,59700,51,59751,0,,alex
2022/4/7,賣,1519,華城,0,0,1000,44.30,38,133,44300,171,0,44129,,alex
2022/4/7,買,2353,宏碁,1000,28.90,0,0,25,0,28900,25,28925,0,,alex
2022/4/11,賣,1519,華城,0,0,1000,43.70,37,131,43700,168,0,43532,,alex
2022/4/12,買,1519,華城,1000,42.30,0,0,36,0,42300,36,42336,0,,alex
2022/4/20,買,1519,華城,1000,41.30,0,0,35,0,41300,35,41335,0,,alex
2022/4/22,買,1519,華城,1000,40.15,0,0,34,0,40150,34,40184,0,,alex
2022/4/25,買,1519,華城,1000,38.65,0,0,33,0,38650,33,38683,0,,alex
2022/4/26,買,2330,台積電,1000,544.00,0,0,465,0,544000,465,544465,0,,alex
2022/6/16,買,2353,宏碁,1000,27.00,0,0,23,0,27000,23,27023,0,,alex
2022/8/18,賣,1519,華城,0,0,1000,40.55,35,122,40550,156,0,40394,,alex
2022/8/24,賣,1519,華城,0,0,1000,40.00,34,120,40000,154,0,39846,,alex
2022/8/29,買,00885,富邦越南,10000,14.59,0,0,125,0,145900,125,146025,0,,alex
2022/9/12,買,9907,統一實,2000,20.40,0,0,35,0,40800,35,40835,0,,alex
2022/9/19,買,9907,統一實,2000,19.85,0,0,34,0,39700,34,39734,0,,alex
2022/9/22,買,9907,統一實,1000,19.05,0,0,20,0,19050,20,19070,0,,alex
2022/9/29,買,9907,統一實,1000,17.95,0,0,20,0,17950,20,17970,0,,alex
