#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"TaskName","State"
"Adobe Acrobat Update Task","Ready"
"InstallAiPlayer","Ready"
"OpenUrlEaseUSAIMediaPlayer","Ready"
"OpenUrlEaseUSVideoDownloader","Ready"
"Qware_Daily_Report_Update","Ready"
"TravelExpenseUpdate","Ready"
"Update_GA_Report_0800","Ready"
"Update_GA_Report_1500","Ready"
"VivaldiUpdateCheck-adeac48301749feb","Ready"
"Office 15 Subscription Heartbeat","Ready"
"OfficeTelemetryAgentFallBack2016","Ready"
"OfficeTelemetryAgentLogOn2016","Ready"
".NET Framework NGEN v4.0.30319","Ready"
".NET Framework NGEN v4.0.30319 64","Ready"
".NET Framework NGEN v4.0.30319 64 Critical","Disabled"
".NET Framework NGEN v4.0.30319 Critical","Disabled"
"AD RMS Rights Policy Template Management (Automated)","Disabled"
"AD RMS Rights Policy Template Management (Manual)","Ready"
"PolicyConverter","Ready"
"VerifiedPublisherCertStoreCheck","Ready"
"MareBackup","Ready"
"Microsoft Compatibility Appraiser","Ready"
"PcaPatchDbTask","Ready"
"PcaWallpaperAppDetect","Ready"
"SdbinstMergeDbTask","Ready"
"StartupAppTask","Ready"
"appuriverifierdaily","Ready"
"appuriverifierinstall","Ready"
"CleanupTemporaryState","Ready"
"DsSvcCleanup","Ready"
"Backup","Ready"
"BackupNonMaintenance","Ready"
"Pre-staged app cleanup","Disabled"
"Proxy","Ready"
"BitLocker Encrypt All Drives","Ready"
"BitLocker MDM policy Refresh","Ready"
"UninstallDeviceTask","Ready"
"BgTaskRegistrationMaintenanceTask","Ready"
"maintenancetasks","Ready"
"UserTask","Ready"
"UserTask-Roam","Ready"
"ProactiveScan","Ready"
"SyspartRepair","Ready"
"CreateObjectTask","Ready"
"Backup","Ready"
"Restore","Ready"
"UnifiedConsentSyncTask","Ready"
"Consolidator","Ready"
"UsbCeip","Ready"
"Data Integrity Check And Scan","Ready"
"Data Integrity Scan","Ready"
"Data Integrity Scan for Crash Recovery","Ready"
"ScheduledDefrag","Ready"
"Device","Ready"
"Device User","Ready"
"RecommendedTroubleshootingScanner","Ready"
"Scheduled","Ready"
"DirectXDatabaseUpdater","Ready"
"DXGIAdapterCache","Ready"
"SilentCleanup","Ready"
"Microsoft-Windows-DiskDiagnosticDataCollector","Disabled"
