,1.2,Azure + AWS 票務加總,,,,,票務,活動/子系統 &,,[說明來這頁-28.流量異常說明-寫],,,[回首頁],Azure 票務費用,,,,,數位應用開發TEAM,,,,AWS 票務費用,,,,,數位應用開發TEAM
,年/月,A系統,D系統(AWS),E系統,共用,會員,總計[未稅],機器監控等級,活動名稱,備註說明,,,年/月,A系統,D系統(會員),E系統,共用,,總計[未稅],,,年/月,A系統,D系統,E系統,共用,,總計[未稅]
,2025/11/01  ,"$28,723","$7,983","$4,578","$2,478","$6,272","$50,035",A系統-小型(免監控),Yu-Gi-Oh! CHAMPIONSHIP SERIES ASIA ~ Taipei 2025,,,,2025/11/01  ,"$28,723","$6,272","$4,578","$2,478",,"$42,052",,,2025/11/01  ,$0,"$7,983",$0,$0,,"$7,983"
,2025/11/02  ,"$22,874","$7,251","$5,058","$2,339","$5,501","$43,024",,,,,,2025/11/02  ,"$22,874","$5,501","$5,058","$2,339",,"$35,773",,,2025/11/02  ,$0,"$7,251",$0,$0,,
,2025/11/03  ,"$38,422","$10,155","$5,230","$3,124","$6,940","$63,870","A系統-小型(免監控)
A系統-小型(免監控)","中華職棒36年冬季聯盟
本田響矢首次台北粉絲見面會-VVIP",,,,2025/11/03  ,"$38,422","$6,940","$5,230","$3,124",,"$53,715",,,2025/11/03  ,$0,"$10,155",$0,$0,,
,2025/11/04  ,"$33,859","$9,463","$5,212","$3,048","$7,126","$58,707","A系統-小型(免監控)
A系統-小型(免監控)","OPEN！ DREAM WORLD 夢想演唱會
本田響矢首次台北粉絲見面會-VIP",,,,2025/11/04  ,"$33,859","$7,126","$5,212","$3,048",,"$49,244",,,2025/11/04  ,$0,"$9,463",$0,$0,,
,2025/11/05  ,"$34,977","$8,317","$5,195","$3,043","$6,971","$58,502","A系統-小型(免監控)
A系統-小型(免監控)","SMART CSNP FAN MEETING IN TAIPEI
本田響矢首次台北粉絲見面會-一般區",,,,2025/11/05  ,"$34,977","$6,971","$5,195","$3,043",,"$50,185",,,2025/11/05  ,$0,"$8,317",$0,$0,,
,2025/11/06  ,"$29,679","$7,714","$5,500","$2,718","$6,339","$51,950",A系統-小型(免監控),紫羅蘭永恆花園 交響音樂會 高雄站-加場,,,,2025/11/06  ,"$29,679","$6,339","$5,500","$2,718",,"$44,236",,,2025/11/06  ,$0,"$7,714",$0,$0,,
,2025/11/07  ,"$27,796","$7,246","$5,595","$45,964","$5,565","$92,166",A系統-小型(免監控),2025 YoungKey Girls 洋基女孩決選會,"共用本日費用為 Azure RI（Reserved Instance）月費，依各資源RI 購買日分別按月計費：SQLMI_BC_Compute_Premium-$43,088。",,,2025/11/07  ,"$27,796","$5,565","$5,595","$45,964",,"$84,920",,,2025/11/07  ,$0,"$7,246",$0,$0,,
,2025/11/08  ,"$52,619","$11,428","$5,562","$31,841","$8,410","$109,860",A系統-中型(小型監控),"QWER 1ST WORLD TOUR ＜ROCKATION＞ in TAIPEI 
加場",,,,2025/11/08  ,"$52,619","$8,410","$5,562","$31,841",,"$98,432",,,2025/11/08  ,$0,"$11,428",$0,$0,,
,2025/11/09  ,"$22,675","$6,304","$5,230","$2,525","$4,584","$41,318",,,"A系統維運：agw-$1,529、appserver-$1,324、dbmi-$10,650、vm-$5,616、log-$1,263、redis-$317、storage-$670 = $21,369",,,2025/11/09  ,"$22,675","$4,584","$5,230","$2,525",,"$35,014",,,2025/11/09  ,$0,"$6,304",$0,$0,,
,2025/11/10  ,"$22,832","$6,486","$5,479","$2,365","$4,582","$41,744",,,,,,2025/11/10  ,"$22,832","$4,582","$5,479","$2,365",,"$35,258",,,2025/11/10  ,$0,"$6,486",$0,$0,,
,2025/11/11  ,"$22,608","$6,014","$5,182","$2,297","$4,419","$40,521",,,,,,2025/11/11  ,"$22,608","$4,419","$5,182","$2,297",,"$34,507",,,2025/11/11  ,$0,"$6,014",$0,$0,,
,2025/11/12  ,"$22,625","$6,476","$5,356","$19,390","$4,585","$58,432",,,"共用本日費用為 Azure RI（Reserved Instance）月費，依各資源RI 購買日分別按月計費：Standard_P0_v3_Windows-$2,429、Standard_P0_v3_Windows-$14,571。",,,2025/11/12  ,"$22,625","$4,585","$5,356","$19,390",,"$51,956",,,2025/11/12  ,$0,"$6,476",$0,$0,,
,2025/11/13  ,"$22,547","$5,423","$5,332","$2,411","$4,414","$40,128",,,,,,2025/11/13  ,"$22,547","$4,414","$5,332","$2,411",,"$34,705",,,2025/11/13  ,$0,"$5,423",$0,$0,,
,2025/11/14  ,"$28,046","$6,071","$5,496","$13,587","$5,176","$58,375",A系統-小型(免監控),"中華職棒36年冬季聯盟
簽名會參加資格券四場",,,,2025/11/14  ,"$28,046","$5,176","$5,496","$13,587",,"$52,304",,,2025/11/14  ,$0,"$6,071",$0,$0,,
,2025/11/15  ,"$23,677","$68,403","$5,341","$3,749","$4,507","$105,677",,,,,,2025/11/15  ,"$23,677","$4,507","$5,341","$3,749",,"$37,274",,,2025/11/15  ,$0,"$68,403",$0,$0,,
,2025/11/16  ,"$114,364","$422,127","$6,418","$6,836","$11,198","$560,943",A系統-大型(中型監控),AAA,"D系統大型監控：ALB LCU 4萬*4、m6i.2xlarge * 504、cache.m6g.xlarge*3、db.m6i.xlarge。
A系統費用分析：費用超過1千項目 agw-$16,028、appservice-$22,000、dbmi-$39,468、vm-$12,604、log-$14,092、redis-$1,529、流量-$1,480 =$107,201、UAT費用：$5,093.。",,,2025/11/16  ,"$114,364","$11,198","$6,418","$6,836",,"$138,816",,,2025/11/16  ,$0,"$422,127",$0,$0,,
,2025/11/17  ,"$29,647","$6,392","$11,309","$2,637","$5,420","$55,405",A系統-小型(免監控),本田響矢首次台北粉絲見面會-VVIP,,,,2025/11/17  ,"$29,647","$5,420","$11,309","$2,637",,"$49,013",,,2025/11/17  ,$0,"$6,392",$0,$0,,
,2025/11/18  ,"$23,891","$6,012","$5,238","$2,562","$4,022","$41,725",A系統-小型(免監控),本田響矢首次台北粉絲見面會-VIP,,,,2025/11/18  ,"$23,891","$4,022","$5,238","$2,562",,"$35,713",,,2025/11/18  ,$0,"$6,012",$0,$0,,
,2025/11/19  ,"$23,241","$5,220","$5,159","$2,486","$3,226","$39,332",,,,,,2025/11/19  ,"$23,241","$3,226","$5,159","$2,486",,"$34,112",,,2025/11/19  ,$0,"$5,220",$0,$0,,
,2025/11/20  ,"$22,990","$5,397","$5,286","$7,405","$3,128","$44,207",,,,,,2025/11/20  ,"$22,990","$3,128","$5,286","$7,405",,"$38,810",,,2025/11/20  ,$0,"$5,397",$0,$0,,
,2025/11/21  ,"$38,397","$7,598","$5,755","$3,329","$4,532","$59,612","A系統-小型(免監控)
A系統-小型(免監控)
A系統-小型(免監控)","AAA開放取票(11/21 12:00起、11/22、11/23 整天)
Yu－Gi－Oh！CHAMPIONSHIP SERIES ASIA Taipei 2025
LMSY DEAL WITH YOU IN TAIPEI",,,,2025/11/21  ,"$38,397","$4,532","$5,755","$3,329",,"$52,014",,,2025/11/21  ,$0,"$7,598",$0,$0,,
,2025/11/22  ,"$23,518","$5,479","$5,407","$2,858","$3,454","$40,716",,,,,,2025/11/22  ,"$23,518","$3,454","$5,407","$2,858",,"$35,237",,,2025/11/22  ,$0,"$5,479",$0,$0,,
,2025/11/23  ,"$22,434","$5,224","$5,281","$2,692","$3,295","$38,926",,,,,,2025/11/23  ,"$22,434","$3,295","$5,281","$2,692",,"$33,702",,,2025/11/23  ,$0,"$5,224",$0,$0,,
,2025/11/24  ,"$22,562","$6,303","$5,730","$2,657","$3,404","$40,656",,,,,,2025/11/24  ,"$22,562","$3,404","$5,730","$2,657",,"$34,353",,,2025/11/24  ,$0,"$6,303",$0,$0,,
,2025/11/25  ,"$23,174","$5,324","$5,378","$2,738","$3,261","$39,875",,,,,,2025/11/25  ,"$23,174","$3,261","$5,378","$2,738",,"$34,551",,,2025/11/25  ,$0,"$5,324",$0,$0,,
